,Date ,Time In ,Time Out ,Details ,id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
7,d/d ,1.10gm ,1:25,,MON2_SI_01_table_Page_154,,,,,
8,9-Jun,128,1.41,Hitting Student ,MON2_SI_01_table_Page_154,,,,,
9,619,1:42,1:55,HiHing Teacher ,MON2_SI_01_table_Page_154,,,,,
10,618,2:07,2018,,MON2_SI_01_table_Page_154,,,,,
11,,19:34,10:32,,MON2_SI_01_table_Page_154,,,,,
12,,36,1831,,MON2_SI_01_table_Page_154,,,,,
13,6/12/17,1256,1:06,Aduft ,MON2_SI_01_table_Page_154,,,,,
14,6/12/17,1:54,2.13,,MON2_SI_01_table_Page_154,,,,,
15,6/14/18,10:05,10:40,,MON2_SI_01_table_Page_154,,,,,
0,8-Dec,10:56 AM,11:30Am ,,MON2_SI_01_table_Page_136,,,,,
1,121s ,12:08,,Throwing stuff in the ,MON2_SI_01_table_Page_136,,,,,
2,1218,11.21,11:35,threw iron as stuff ,MON2_SI_01_table_Page_136,,,,,
3,Dec-00,9:00a.m ,9:Dam ,,MON2_SI_01_table_Page_136,,,,,
4,12-Dec,9:19a ,9:35,,MON2_SI_01_table_Page_136,,,,,
5,12-Dec,1045,,,MON2_SI_01_table_Page_136,,,,,
6,2-Dec,11:36,11:45,,MON2_SI_01_table_Page_136,,,,,
7,12-Dec,11:45,11:56,,MON2_SI_01_table_Page_136,,,,,
8,13-Dec,8:45,8,,MON2_SI_01_table_Page_136,,,,,
9,12-Dec,11.3,,running from staff ,MON2_SI_01_table_Page_136,,,,,
10,12-Dec,9:00,, runing ,MON2_SI_01_table_Page_136,,,,,
11,12-Dec,12:30,,yelloy at others students. ,MON2_SI_01_table_Page_136,,,,,
12,14-Dec,1:30,,yellin	 liting ,MON2_SI_01_table_Page_136,,,,,
13,13/14 ,1'30 ,,Hitting other statement ,MON2_SI_01_table_Page_136,,,,,
14,15-Dec,10:30,,Adult ,MON2_SI_01_table_Page_136,,,,,
15,14-Dec,10:30,11:00,,MON2_SI_01_table_Page_136,,,,,
16,14-Dec,9115,9:45,Destroged the room ,MON2_SI_01_table_Page_136,,,,,
0,13-Mar,12:52,1:13,,MON2_SI_01_table_Page_145,,,,,
1,13/16/17 ,10:34,10:37,,MON2_SI_01_table_Page_145,,,,,
2,they ,10:55,11:08,,MON2_SI_01_table_Page_145,,,,,
3,,1:04,1:11,,MON2_SI_01_table_Page_145,,,,,
4,1-Mar,11:45,11:55,,MON2_SI_01_table_Page_145,,,,,
